Name,Types,Price Level,Rating
SMP Negeri 2 Selemadeg,school,,5.0
Kantor DESA PUPUAN SAWAH,local_government_office,,5.0
Adi Rama 2,"farm, food",,5.0
Jelih foto copy,store,,5.0
SD Negeri 1 Pupuan Sawah,"primary_school, school",,
PONDOK REJUNA INGUH,,,
AGUNG LAUNDRY,laundry,,
Dolar Cell,"cell_phone_store, store",,4.3
UD. Sido Nadi,"supermarket, grocery_store, food, store",,5.0
Toko Bagus,"grocery_store, food, store",,5.0
Toko Revand,"home_goods_store, store",,5.0
Rumah Oka,,,
Pura Dalem Desa Adat Pupuan Sawah,"hindu_temple, place_of_worship",,1.0
Pos Pelayanan Hukum dan HAM (Posyankumhamdes) Desa Pupuan Sawah,consultant,,
Pradana,spa,,
Rumah Revand,,,
Rumah Sukma,,,
Penjahit Kebaya Bu Kristya,tailor,,
Pan Sri,,,1.0
Tika,,,
Bali Dog Association,,,5.0
Carik Komang Jensen,park,,5.0
Shelter Aseman Bali Dog,,,5.0
ogix's nest,,,
Bedugul Subak Soka Aseman,"hindu_temple, place_of_worship",,
Tegal kaja kangin Mingde,park,,
Tanah nyoman windri,farm,,
Dimas,,,
Banas pati mbf,,,
Pondok gede giri,lodging,,5.0
Tibu Sampi Waterfall,tourist_attraction,,4.7
Clove Tree Hill - Bali Eco Retreat,"hotel, resort_hotel, spa, lodging",,4.7
Kemetug Eco Reserve,landmark,,4.7
Tibu Sampi Waroeng,"restaurant, food",,4.8
Pura Ulu Kemetug Anyar,"hindu_temple, place_of_worship",,5.0
Warung Agus Arta,"restaurant, food",,5.0
Karya Sri Sejahtera ( KSS ),farm,,5.0
Tapa hill bali,"indonesian_restaurant, restaurant, food",,5.0
Rumah Cemara,,,
Pondok rejeng,,,5.0
Kebun Cengkeh Kiang Olin,park,,
Manca Kemetug,"restaurant, food",,4.9
Bale Bengong MDN,,,
Wr sontheng mx,bar,,5.0
PURA SUBAK ABIAN KUKUL BATU,"hindu_temple, place_of_worship",,
KANTOR PERBEKEL DESA DALANG - SELAMADEG,,,4.2
Bale Banjar Dalang Pondok,"community_center, event_venue",,3.8
Warung Sedana,store,,3.5
SD Negeri 1 Dalang,school,,4.0
Bale Banjar Dalang Desa,"community_center, event_venue",,4.2
"Br Dinas Dalang Desa, Dalang, Selemadeg TImur",,,
Puri Dalang,food,,5.0
Toko Pakan Babi,store,,4.0
TPS3R Dalang,,,
Warung Jogja,"restaurant, food",,4.6
