coordinate
"(-8.43778787037442, 115.04614895353889)"
"(-8.437787765236736, 115.055229751567)"
"(-8.437787660099051, 115.06431054959266)"
"(-8.437787554961368, 115.07339134761587)"
"(-8.437787449823686, 115.08247214563661)"
"(-8.437787344686006, 115.0915529436549)"
"(-8.43778723954833, 115.10063374167073)"
"(-8.437787134410652, 115.10971453968412)"
"(-8.437787029272975, 115.11879533769505)"
"(-8.437786924135303, 115.12787613570352)"
"(-8.43778681899763, 115.13695693370953)"
"(-8.43778671385996, 115.14603773171308)"
"(-8.437786608722291, 115.15511852971419)"
"(-8.437786503584622, 115.16419932771284)"
"(-8.437786398446955, 115.17328012570903)"
"(-8.43778629330929, 115.18236092370276)"
"(-8.437786188171627, 115.19144172169403)"
"(-8.437786083033963, 115.20052251968286)"
"(-8.437785977896299, 115.20960331766923)"
"(-8.437785872758637, 115.21868411565315)"
"(-8.43778576762098, 115.2277649136346)"
"(-8.437785662483321, 115.2368457116136)"
"(-8.437785557345665, 115.24592650959015)"
"(-8.437785452208008, 115.25500730756424)"
"(-8.437785347070353, 115.26408810553588)"
"(-8.437785241932703, 115.27316890350505)"
"(-8.437785136795052, 115.28224970147177)"
"(-8.4377850316574, 115.29133049943604)"
"(-8.43778492651975, 115.30041129739786)"
"(-8.437784821382103, 115.30949209535721)"
"(-8.437784716244456, 115.31857289331411)"
"(-8.43778461110681, 115.32765369126855)"
"(-8.437784505969168, 115.33673448922055)"
"(-8.437784400831525, 115.34581528717008)"
"(-8.437784295693884, 115.35489608511716)"
"(-8.437784190556242, 115.36397688306178)"
"(-8.437784085418604, 115.37305768100394)"
"(-8.437783980280969, 115.38213847894366)"
"(-8.437783875143332, 115.39121927688092)"
"(-8.437783770005694, 115.40030007481572)"
"(-8.43778366486806, 115.40938087274806)"
"(-8.437783559730427, 115.41846167067794)"
"(-8.437783454592799, 115.42754246860538)"
"(-8.437783349455168, 115.43662326653036)"
"(-8.437783244317542, 115.44570406445288)"
"(-8.437783139179917, 115.45478486237295)"
"(-8.437783034042292, 115.46386566029055)"
"(-8.437782928904669, 115.47294645820571)"
"(-8.437782823767046, 115.48202725611841)"
"(-8.437782718629425, 115.49110805402866)"
"(-8.445618218526432, 115.04160864601158)"
"(-8.44561811328981, 115.05068962701748)"
"(-8.445618008053186, 115.05977060802091)"
"(-8.445617902816565, 115.06885158902189)"
"(-8.445617797579944, 115.0779325700204)"
"(-8.445617692343328, 115.08701355101644)"
"(-8.445617587106712, 115.09609453201003)"
"(-8.445617481870096, 115.10517551300116)"
"(-8.445617376633479, 115.11425649398983)"
"(-8.445617271396861, 115.12333747497604)"
"(-8.445617166160249, 115.1324184559598)"
"(-8.445617060923636, 115.14149943694109)"
"(-8.445616955687026, 115.15058041791991)"
"(-8.445616850450417, 115.15966139889628)"
"(-8.44561674521381, 115.16874237987018)"
"(-8.445616639977203, 115.17782336084163)"
"(-8.4456165347406, 115.18690434181062)"
"(-8.445616429503996, 115.19598532277715)"
"(-8.445616324267393, 115.20506630374122)"
"(-8.445616219030791, 115.21414728470283)"
"(-8.445616113794191, 115.22322826566197)"
"(-8.445616008557591, 115.23230924661866)"
"(-8.445615903320995, 115.24139022757288)"
"(-8.445615798084397, 115.25047120852464)"
"(-8.445615692847802, 115.25955218947395)"
"(-8.44561558761121, 115.2686331704208)"
"(-8.445615482374617, 115.27771415136519)"
"(-8.445615377138028, 115.2867951323071)"
"(-8.445615271901437, 115.29587611324656)"
"(-8.445615166664847, 115.30495709418356)"
"(-8.445615061428262, 115.3140380751181)"
"(-8.445614956191676, 115.32311905605019)"
"(-8.445614850955094, 115.33220003697981)"
"(-8.445614745718512, 115.34128101790698)"
"(-8.445614640481931, 115.35036199883169)"
"(-8.44561453524535, 115.35944297975392)"
"(-8.445614430008773, 115.3685239606737)"
"(-8.445614324772198, 115.37760494159102)"
"(-8.44561421953562, 115.38668592250588)"
"(-8.445614114299046, 115.39576690341828)"
"(-8.44561400906247, 115.40484788432822)"
"(-8.445613903825897, 115.4139288652357)"
"(-8.445613798589328, 115.42300984614073)"
"(-8.44561369335276, 115.43209082704328)"
"(-8.445613588116192, 115.44117180794338)"
"(-8.445613482879624, 115.45025278884101)"
"(-8.44561337764306, 115.45933376973619)"
"(-8.445613272406497, 115.46841475062891)"
"(-8.445613167169935, 115.47749573151917)"
"(-8.44561306193337, 115.48657671240697)"
"(-8.453448563530971, 115.04614941124717)"
"(-8.453448458195405, 115.05523057540672)"
"(-8.453448352859837, 115.0643117395638)"
"(-8.453448247524271, 115.07339290371843)"
"(-8.453448142188707, 115.08247406787058)"
"(-8.453448036853143, 115.09155523202027)"
"(-8.453447931517582, 115.10063639616749)"
"(-8.45344782618202, 115.10971756031225)"
"(-8.45344772084646, 115.11879872445454)"
"(-8.4534476155109, 115.12787988859436)"
