Name,Types,Price Level,Rating
SMP Negeri 2 Selemadeg,school,,5
Kantor DESA PUPUAN SAWAH,local_government_office,,5
Adi Rama 2,"farm, food",,5
Jelih foto copy,store,,5
SD Negeri 1 Pupuan Sawah,"primary_school, school",,
PONDOK REJUNA INGUH,,,
AGUNG LAUNDRY,laundry,,
Dolar Cell,"cell_phone_store, store",,4.3
UD. Sido Nadi,"supermarket, grocery_store, food, store",,5
Toko Bagus,"grocery_store, food, store",,5
Toko Revand,"home_goods_store, store",,5
Rumah Oka,,,
Pura Dalem Desa Adat Pupuan Sawah,"hindu_temple, place_of_worship",,1
Pos Pelayanan Hukum dan HAM (Posyankumhamdes) Desa Pupuan Sawah,consultant,,
Pradana,spa,,
Rumah Revand,,,
Rumah Sukma,,,
Penjahit Kebaya Bu Kristya,tailor,,
Pan Sri,,,1
Tika,,,
