id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level,review 1,review 2,review 3,review 4,review 5
ChIJzSazxFCb0S0RNfs0m5NZZOM,Warung Ikan Bakar Xenia,-8.1720808,115.00639400000001,"R2H4+5H6, Temukus, Banjar, Buleleng Regency, Bali 81152, Indonesia",https://maps.google.com/?cid=16385319834779712309,OPERATIONAL,+62 852-0588-4777,seafood_restaurant,"seafood_restaurant, indonesian_restaurant, restaurant, food",4.2,449,PRICE_LEVEL_INEXPENSIVE,"Greattttt seafood restaurant,
with great price, location and service. Fresh seafood🥺
The crispy prawn is so good melted so well in my mouth. Will definitely come back to this place, the seller is very kind and responsible, he changed the wrong menu to the correct one.

For 3 people I only paid 250K for the Amazing seafood! Def must stop.","Glad that we dropped in because they have parking space for cars (one of the few places along Jl Seririt Singaraja, the coastal road).

The ikan bakar had a terrific smoky flavour and the fish meat was grilled tenderly right.

A great place to chill during sunset, watching the fishing boats lighted up in the night.",Great fish barbecue right by the sea and you can watch a great sunset from here.,"Not the greatest seafood restaurant. Very nice sauces though. The staff was friendly and helpful. A nice view, looking over the ocean.",Good BBQ fish for a friendly price. You can watch the sun go down
ChIJn8ljLlGb0S0Rrc3ISom8Ox4,IKAN BAKAR KERTA,-8.1731784,115.0057373,"Br. Bingin Banjah, Jl. Seririt- Singaraja, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",https://maps.google.com/?cid=2178542142614982061,OPERATIONAL,+62 877-6252-5848,seafood_restaurant,"seafood_restaurant, indonesian_restaurant, restaurant, food",4.3,131,,"Nice view, lot of parking area, great meal.","I liked the food...its traditional and tasteful...for me it's the best seafood spot around.....easy to find near the beach...Nice food, nice view & good price...",Wonderful place with beach view.. Cheap but great taste,"We got recommendations by locals and it was amazing. My gf says they are the most tasty from every warungs we tried on Bali.
Expect fishs, but we ask for classic cap cay, mie goreng and nasi goreng without fish only chicken.. served with no problem. I also tried fish and was excellent.
Plus is emplacement on the beach with beautiful sunsets.",Was looking for a simple seafood place and found this hidden place. The fish soup is outstanding but super spicy. Very reasonable price.
ChIJk3ILKsyb0S0Rm7ryAazyGQs,Tulipan Villa Lovina,-8.1750455,115.009034,"Duaun bingin banjah, Temukus, Banjar, Buleleng Regency, Bali 81152, Indonesia",https://maps.google.com/?cid=799937229415955099,OPERATIONAL,+62 878-6323-2934,private_guest_room,"private_guest_room, lodging",5,4,,"A very comfortable and beautiful stay! I had a great experience, with also mesmerizing views, good customer service, very helpful staff, complete facilities, and obviously worth the price. Hope I can stay back here again. Thank you!❤️",,,,
ChIJMaeA2VCb0S0RDb2lBbhi81c,Warung Ikan Bakar Lia,-8.172225899999999,115.00618580000001,"R2H4+4F3, Jl. Seririt- Singaraja, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",https://maps.google.com/?cid=6337517643148672269,OPERATIONAL,+62 819-1569-6069,indonesian_restaurant,"indonesian_restaurant, restaurant, food",4.4,67,,"Nice place,  beach side, delicious sea food, especially sambal bawang..",Halal food recomended,Rate 7,Nice place,
ChIJF1CsnK-b0S0R5lT3O2RyNeQ,The Lavana Villa Bhumi Bougenville Lovina,-8.174856799999999,115.0091405,"Dusun Bingin Banjah, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",https://maps.google.com/?cid=16444175389241595110,OPERATIONAL,+62 896-8000-0788,hotel,"hotel, lodging",5,1,,,,,,
ChIJP8GGfvSb0S0RlW_22dJOlp0,"BAKSO ""BANYURAJA"" PAK JA'FAR",-8.1731333,115.0059541,"R2G4+P9W, Jl. Seririt- Singaraja, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",https://maps.google.com/?cid=11355350177968189333,OPERATIONAL,+62 852-3263-1412,indonesian_restaurant,"indonesian_restaurant, restaurant, food",4.6,58,PRICE_LEVEL_INEXPENSIVE,Is good restaurant but not many people and spicy food lol,Good,Good,,
ChIJQyRtwVCb0S0RONHC6z4BHrU,Agus Homestay,-8.1715351,115.0065721,"R2H4+9JP, Temukus, Banjar, Buleleng Regency, Bali 81152, Indonesia",https://maps.google.com/?cid=13050870139921289528,OPERATIONAL,,hotel,"hotel, lodging",4.7,27,,"Great place to relax with view to the sea and beautiful garden. Amazing sunset view. Private terrace. Sparkling clean room. Probably the cleanest place we stayed in Indonesia. Bathroom where you can go to toilet without getting wet feet. (common issue)
Hot water, air conditioning, satellite TV.
Staff very kind and friendly. Breakfast is great.
Main road is just behind so be aware of possible noise. Location is away from crowds and aggressive sellers. Motorbike or car is a must.","Great stopover place. Cant fault the service, the staff or the room. Everyone was lovely. The sunset was amazing!",The AC is very cold and I like it. But there are a lot of mosquitoes in the rooms. They should have sprayed the rooms with baygon several hours before I came.,The view is so good 👍,Good
ChIJF4fUg1Ob0S0RGPp-P0f6aFY,Tropical Oasis Villa,-8.1773736,115.0054637,"R2F4+354, Gg. Luhluna, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",https://maps.google.com/?cid=6226501668754618904,OPERATIONAL,+62 812-3964-9373,hotel,"hotel, lodging",4.6,7,,"Clean, quite, a lot of space for 6 people.
Very helpful and nice staff.
The pool and garden are big, clean and beautiful.
Location requires a car/scooter.
Value for money is extreme;)",Chill place mountain lover,,,
ChIJR3XwKFGb0S0RaAgONZght10,Lesehan Ikan Bakar Caluk 1,-8.1727349,115.00568109999999,"R2G4+W73, Temukus, Banjar, Buleleng Regency, Bali 81152, Indonesia",https://maps.google.com/?cid=6752903103874205800,OPERATIONAL,+62 813-3841-6774,indonesian_restaurant,"indonesian_restaurant, restaurant, food",4.4,9,,"Fresh fish (catch of the day) grilled on coconut husks, amazing, directly on the beach",sooo gooooood!!!!,,,
ChIJT22Kr4KR0S0RBUeL8GcFeDI,Airy Buleleng Lovina Kubu Gembong 1 Singaraja Bali,-8.171184499999999,115.0066483,"Jl. seririt, R2H4+GMC, Jl. Raya Lovina-Singaraja, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia",https://maps.google.com/?cid=3636662643077105413,OPERATIONAL,+62 804 111 2479,hotel,"hotel, lodging",3.7,20,,This is the wronf location. The correct one is 15kms away. This map got me lost!,"i got one bad room, just not lucky",good view ad room,,
