id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level
ChIJEQ50acNB0i0RTU3QNXUx-pA,Graha Tribhakti,-8.6871229,115.212321,"Jl. P. Saelus II No.77, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80114, Indonesia",https://maps.google.com/?cid=10446716665123065165,OPERATIONAL,+62 821-4666-777,bed_and_breakfast,"bed_and_breakfast, lodging",4.6,60,
ChIJXW8wxstB0i0RpiUu7fHaZiA,Ledang Space & Studio,-8.6843642,115.2169538,"Jl. Tukad Yeh Biu No.11, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223, Indonesia",https://maps.google.com/?cid=2334794189439378854,OPERATIONAL,+62 823-3952-5670,coffee_shop,"coffee_shop, cafe, store, food",4.3,38,
ChIJheQDQoRB0i0RugOWxkXhUZ0,Rebo Pork Ribs,-8.6793926,115.21503070000001,"Jl. Raya Sesetan No.14, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80222, Indonesia",https://maps.google.com/?cid=11336089426868962234,OPERATIONAL,+62 813-3770-2758,restaurant,"restaurant, food",4.4,55,
ChIJQV7dpcJA0i0R2XX7WFADYHE,Pondok taman sari 1,-8.679936999999999,115.212488,"Jl. Pulau Serangan No.17A-H, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80114, Indonesia",https://maps.google.com/?cid=8169533367675221465,OPERATIONAL,+62 818-566-759,lodging,"lodging, private_guest_room",4.2,56,
ChIJr6LIVv5B0i0RxMvFk4JS2eQ,Burger Bangor Sesetan,-8.684023999999999,115.21585829999998,"Jl. Raya Sesetan No.89, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223, Indonesia",https://maps.google.com/?cid=16490302231372221380,OPERATIONAL,+62 812-3512-5442,fast_food_restaurant,"fast_food_restaurant, restaurant, food",3.8,130,
ChIJk5SoUOhA0i0REahNQphd7NA,Graha Pasek,-8.680342099999999,115.21495209999999,"Jl. Raya Sesetan No.26, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",https://maps.google.com/?cid=15054510562921523217,OPERATIONAL,,private_guest_room,"private_guest_room, lodging",4.5,41,
ChIJR_yRrQJB0i0R90hgbD7AAQQ,BELIKOPI. SESETAN BALI,-8.6851948,115.2160989,"Jl. Raya Sesetan No.237, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80114, Indonesia",https://maps.google.com/?cid=288723225467177207,OPERATIONAL,,cafe,"cafe, food",4.5,130,
ChIJzc3GeRZB0i0Rh5zqD9X6oYE,kos kosan murah,-8.687191,115.2123817,"Jl. P. Saelus II No.20B, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223, Indonesia",https://maps.google.com/?cid=9341022895145131143,OPERATIONAL,+62 823-3991-3008,extended_stay_hotel,"extended_stay_hotel, hotel, lodging",3.6,8,
ChIJ3bZRNeZA0i0RAYfkeurNqDo,Wiracana HandFan Sesetan,-8.6815344,115.21578629999998,"Jalan Raya Sesetan 63, Gg. Merpati No.3, Sesetan, Denpasar Selatan, Denpasar City, Bali 80223, Indonesia",https://maps.google.com/?cid=4226854657255048961,OPERATIONAL,+62 878-7476-6600,store,"museum, store",4.6,162,
ChIJbd5PZuhA0i0RC0UJfqqC1mQ,Rumah Makan Babi Guling Rebo Manis,-8.6794257,115.21500439999998,"Jl. Raya Sesetan No.14, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80223, Indonesia",https://maps.google.com/?cid=7266138717579461899,OPERATIONAL,+62 813-3811-5617,indonesian_restaurant,"indonesian_restaurant, restaurant, food",4.1,141,
