id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level,review 1,review 2,review 3,review 4,review 5
ChIJ_WHBOWs70i0RKSE26JlKuBA,Villa Taman di Blayu,-8.5185544,115.1674359,"F5J8+HXF, Peken, Marga, Tabanan Regency, Bali 82181, Indonesia",https://maps.google.com/?cid=1204794925207920937,OPERATIONAL,+62 361 8945560,lodging,lodging,4.4,145,,"We stayed here during the time Nyepi was happening, and Villa Taman di Blayu is one of the best places we've stayed at.

The villas were lovely and the hotel grounds were well-kept and beautiful. The staff were always nice and helpful. The breakfasts were large and fill up your belly for you to begin your day.

The location is quite ""isolated"", and you do need a car or a motorcycle to get to points of interest, but if a place away from the hassle of Bali is your cup of tea, then this is the place for you.","Large rooms with extra extra large outside bathroom complete with pond and fish.
Slightly outdated furniture.
Staff are polite and willing to help.
Town is within walking distance and have some nice coffee shops.
Hotel provides good guided walks and occasional performances by local dances.
Nice place to relax.",It's a simply beautiful resort with Balinese village ambience located at Tabanan area. The staff service is excellent. They served guest from the bottom of heart. This resort with rice fields view is very good location for healing and refresh your mind.,"Had a such nice & refreshing experience to stay here. it’s perfect to you find relaxing villa to stay with a big room and bery traditional balinese villa. and love the bathroom also! it’s super enjoyable. we had such a great activity that you can book such as cycling, yoga, and cooking class. will be back sure to stay in tabanan❤️","The view is amazing but the facilities are not clean at all, some rest of bed bugs in the bed, saw a rat twice in the bathroom…"
ChIJJ-O_N2s70i0RPx0RozSHwTQ,Puri Gede Belayu,-8.515564300000001,115.165756,"Jl. Wisnu Marga Belayu No.07, Peken, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",https://maps.google.com/?cid=3801468220621266239,OPERATIONAL,+62 812-3645-7312,cultural_center,cultural_center,4.5,173,,The residents are nice people. Love to go there!,Unique and beautiful heritage palace,"Ancient palace of the royals, one of many royal palace in Bali you would like to visit.",This is my brother store and house,Nice stay
ChIJxy95NJBB0i0RtUtNoGiLtes,Bujidet,-8.5157533,115.1660629,"Jl. Wisnu No.7, Peken, Kec. Marga, Kabupaten Tabanan, Bali 80232, Indonesia",https://maps.google.com/?cid=16984634851179973557,OPERATIONAL,+62 812-3679-5779,restaurant,"restaurant, food",4.7,112,,"Good place for having breakfast nasi kuning & tempe mendoan are so tasty. Sadly I cannot find nasi uduk on the menu. Loving the jadoel vintage indonesian vibe, not only the decorations also consistent plays vintage-type of music Nona Ria. Oh, and white coffee is good, exceed my expectation, thought it was gonna be Luwak White Coffee, turned out it's coffee plus milk.","Good food, good place, comfy for breakfast/lunch. They have tasty yellow rice with mix vegetable & shredded chicken in Balinese red sauce, and especially the fried shallot sambal (sambal embe) is my favorite one! >> Also the crispy sweet tempeh!!!!
They have several menu besides the yellow rice, white rice, brown rice, lime leaves rice and also there're few options to mix.. such as Cakalang (fish), Gulai Ayam (a traditional Indonesian dish of chicken cooked in a spicy, rich, yellowish, curry-like sauce), ayam madu (honey chicken) and so many more...
However not all menus are available everyday! If you're lucky you could have your favorite one... One day, I found all menus are available, the other day, I'm missing few items ~
but taste is pretty good, that's why I keep coming back.
If you order thru Go-jek or Grab-food, perhaps you'd better tell the driver to call/text you back what are available..so you get the right one, especially if you know what you loves!","A must visit if you happens to be in the area. Their basic Package is super affordable and you can add more items as well as your Sambal selection.
Recommended.","I love this spot so much! The food is delicious, the interior is so modern & clean and the guys working there are so friendly! A place I visit every time I’m in the area and you should too!","Nasi kuning dan nasi uduknya enak banget

Well recommended if you want to try nasi kuning for breakfast or lunch.

Reasonable price start from 15k"
ChIJNcAJRGs70i0R4OlhhfKaJwY,GRIYA GEDE BLAYU,-8.5160328,115.16634249999998,"no, Jl. Wisnu No.46, Peken, Kec. Marga, Kabupaten Badung, Bali 82181, Indonesia",https://maps.google.com/?cid=443493454729832928,OPERATIONAL,,lodging,lodging,4.9,21,,Balinese Style Houses for Hindu's Holly Priest and families as well as relatives stay in there.,My home sweet home...,,,
ChIJWaqnqWw70i0RLI_B7rk7KU4,Banjar Peken,-8.5171957,115.1656993,"Jl. Beringkit Abiantuwung No.37, Peken, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",https://maps.google.com/?cid=5632098478764166956,OPERATIONAL,,museum,"museum, tourist_attraction",4.6,17,,,,,,
ChIJnaTAPms70i0RQzWcZgKrtN8,Jero Anyar Belayu,-8.515525799999999,115.16640079999998,"no Jl. Wisnu Belayu No.4, Peken, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",https://maps.google.com/?cid=16119696993065645379,OPERATIONAL,+62 361 8945500,restaurant,"restaurant, food",4.3,40,,I was born here and hope I will die here too. Proud to be one of the Jero Anyar Belayu's family member.,Tasty food - nasi campur ...the ayam geprek & soto ayam is signature dish,A quite and cozy palace,Nice place,
ChIJ67VU8vo70i0Rjp8xrvEE9Q8,Betutu Panggang Men Dhipa,-8.5177488,115.16600670000001,"Br, Peken, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",https://maps.google.com/?cid=1149830715919146894,OPERATIONAL,+62 857-3711-2909,restaurant,"restaurant, food",5,1,,,,,,
ChIJEYnKVwA70i0RAa4-ko3mUYI,Niken Koki Bali,-8.5185926,115.16614759999997,"F5J8+HF6, Belayu, Banjar Dinas, Beringkit, Kec. Marga, Kabupaten Tabanan, Bali, Indonesia",https://maps.google.com/?cid=9390540193762553345,OPERATIONAL,,tourist_attraction,tourist_attraction,5,1,,,,,,
ChIJP0bxL2s70i0RpQ54INzaB2E,Warung Babi Guling Belayu,-8.5154199,115.16600389999999,"F5M8+RCJ, Jl. Wisnu Marga, Peken, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",https://maps.google.com/?cid=6991797585488383653,OPERATIONAL,+62 812-4607-661,indonesian_restaurant,"indonesian_restaurant, restaurant, food",4.3,8,,Staff were very friendly and helpful,,,,
ChIJO4jsVms70i0RBm3sNMoX5wU,Temu Kangen,-8.5168278,115.16564969999999,"F5M8+776, Jl. Beringkit Abiantuwung, Peken, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",https://maps.google.com/?cid=425334847048543494,CLOSED_TEMPORARILY,,restaurant,"restaurant, food",,,,,,,,
