Name,Types,Price Level,Rating
KANTOR PERBEKEL DESA DALANG - SELAMADEG,,,4.2
Bale Banjar Dalang Pondok,"community_center, event_venue",,3.8
Warung Sedana,store,,3.5
SD Negeri 1 Dalang,school,,4
Bale Banjar Dalang Desa,"community_center, event_venue",,4.2
"Br Dinas Dalang Desa, Dalang, Selemadeg TImur",,,
Puri Dalang,food,,5
Toko Pakan Babi,store,,4
TPS3R Dalang,,,
Warung Jogja,"restaurant, food",,4.6
Pustu Dalang,health,,3.5
Toko Surya Kencana,"supermarket, grocery_store, food, store",,5
Pura Puseh Desa Pakraman Dalang,"hindu_temple, place_of_worship",,4
Kolam Tepi Telabah,,,5
PosAja! Drop Point,"post_office, finance",,
June Listrik,"home_goods_store, store",,
Warung Griya Dalang,store,,4
Naera Benkel,car_repair,,4
Pura Kulkul Batu,"hindu_temple, place_of_worship",,5
Air terjun Tibu Lo,,,4
